Part Name, Total Quantity Required, Note
Raspberry Pi 4 Model B (2GB RAM), 1, 
32GB SD Card, 1, 
Geekworm X708 UPS HAT & Power Management Board, 1, 
20000mAh Power Bank, 1, 
